placeName,shortName,isCenter,lat,long,flightsDTW,flightsORD,cat_CA
Philadelphia International Airport,PHL,0,39.8718986511,-75.2410964966,3,3,0
St Louis Lambert International Airport,STL,0,38.748697,-90.370003,3,3,0
Phoenix Sky Harbor International Airport,PHX,0,33.434299469,-112.0120010376,4,3,0
Detroit Metropolitan Wayne County Airport,DTW,1,42.2123985291,-83.3534011841,0,4,0
Adolfo Suárez Madrid–Barajas Airport,MAD,0,40.471926,-3.56264,0,4,0
Licenciado Gustavo Díaz Ordaz International Airport,PVR,0,20.6800994873,-105.2539978027,0,4,0
Los Cabos International Airport,SJD,0,23.1518001556,-109.7210006714,0,4,0
Cincinnati Northern Kentucky International Airport,CVG,0,39.0488014221,-84.6678009033,1,4,0
Memphis International Airport,MEM,0,35.0424003601,-89.9766998291,1,4,0
Seattle Tacoma International Airport,SEA,0,47.449001,-122.308998,1,4,0
Luis Munoz Marin International Airport,SJU,0,18.4393997192,-66.0018005371,1,4,0
Salt Lake City International Airport,SLC,0,40.7883987427,-111.9779968262,1,4,0
Amsterdam Airport Schiphol,AMS,0,52.308601,4.76389,2,4,0
Fort Lauderdale Hollywood International Airport,FLL,0,26.072599,-80.152702,2,4,0
Orlando International Airport,MCO,0,28.4293994904,-81.3089981079,2,4,0
Portland International Airport,PDX,0,45.58869934,-122.5979996,2,4,0
Southwest Florida International Airport,RSW,0,26.5361995697,-81.7552032471,2,4,0
San Diego International Airport,SAN,0,32.7336006165,-117.190002441,2,4,0
Tampa International Airport,TPA,0,27.9755001068,-82.533203125,2,4,0
George Bush Intercontinental Houston Airport,IAH,0,29.9843997955,-95.3414001465,3,4,0
McCarran International Airport,LAS,0,36.08010101,-115.1520004,3,4,0
Dallas Fort Worth International Airport,DFW,0,32.896801,-97.038002,4,4,0
Denver International Airport,DEN,0,39.8616981506,-104.672996521,5,4,0
Manchester Airport,MAN,0,53.3536987305,-2.2749500275,0,5,0
Vancouver International Airport,YVR,0,49.193901062,-123.183998108,0,5,1
Calgary International Airport,YYC,0,51.113899231,-114.019996643,0,5,1
John F Kennedy International Airport,JFK,0,40.63980103,-73.77890015,1,5,0
Minneapolis-St Paul International/Wold-Chamberlain Airport,MSP,0,44.882,-93.221802,1,5,0
San Francisco International Airport,SFO,0,37.6189994812,-122.375,1,5,0
General Edward Lawrence Logan International Airport,BOS,0,42.36429977,-71.00520325,2,5,0
Beijing Capital International Airport,PEK,0,40.0801010132,116.5849990845,3,5,0
Shanghai Pudong International Airport,PVG,0,31.1434001923,121.8050003052,3,5,0
La Guardia Airport,LGA,0,40.77719879,-73.87259674,4,5,0
Narita International Airport,NRT,0,35.7647018433,140.386001587,1,6,0
Licenciado Benito Juarez International Airport,MEX,0,19.4363,-99.072098,2,6,0
Montreal / Pierre Elliott Trudeau International Airport,YUL,0,45.4706001282,-73.7407989502,4,6,1
Lester B. Pearson International Airport,YYZ,0,43.6772003174,-79.6305999756,5,6,1
Dublin Airport,DUB,0,53.421299,-6.27007,0,7,0
Leonardo da Vinci–Fiumicino Airport,FCO,0,41.8002778,12.2388889,0,7,0
Los Angeles International Airport,LAX,0,33.94250107,-118.4079971,2,7,0
Düsseldorf Airport,DUS,0,51.289501,6.76678,0,8,0
Louis Armstrong New Orleans International Airport,MSY,0,29.9934005737,-90.2580032349,5,8,0
London Heathrow Airport,LHR,0,51.4706,-0.461941,4,9,0
Charles de Gaulle International Airport,CDG,0,49.012798,2.55,3,10,0
Hartsfield Jackson Atlanta International Airport,ATL,0,33.6367,-84.428101,8,19,0
